Date,Day_of_Week,Week_Number,Month,Sleep_Hours,Sleep_Quality,Study_Hours,Study_Focus_Score,Gym_Duration_Minutes,Gym_Intensity,Water_Intake_Liters,Screen_Time_Hours,Mood_Score,Productivity_Score,Calories_Burned,Steps
2024-01-01,Monday,1,January,6.45,8,4.23,7,45,Medium,2.34,5.12,7,7,435,8234
2024-01-02,Tuesday,1,January,6.78,8,4.89,7,60,Medium,2.56,4.89,8,8,490,9123
2024-01-03,Wednesday,1,January,6.23,7,5.12,8,75,High,2.78,5.34,8,8,525,10456
2024-01-04,Thursday,1,January,6.56,8,4.45,7,45,Medium,2.45,5.67,7,7,435,8934
2024-01-05,Friday,1,January,6.34,7,3.89,6,30,Light,2.12,6.23,6,6,390,7234
2024-01-06,Saturday,1,January,7.89,9,2.34,5,0,Rest,2.01,7.45,7,6,320,6123
2024-01-07,Sunday,1,January,8.12,9,1.56,4,45,Medium,2.67,8.12,8,6,445,7934
2024-01-08,Monday,2,January,6.67,8,4.56,7,60,Medium,2.43,5.01,7,7,490,8745
2024-01-09,Tuesday,2,January,6.89,9,5.23,8,75,High,2.78,4.56,8,8,540,10234
2024-01-10,Wednesday,2,January,6.45,8,4.78,8,90,High,2.56,5.23,8,8,570,11123
2024-01-11,Thursday,2,January,6.78,8,5.01,8,45,Medium,2.34,5.45,8,8,435,8567
2024-01-12,Friday,2,January,6.23,7,4.12,7,30,Light,2.01,6.78,6,6,390,7456
2024-01-13,Saturday,2,January,8.01,9,2.45,5,0,Rest,2.45,7.89,7,6,320,6789
2024-01-14,Sunday,2,January,8.34,9,1.78,4,60,Medium,2.89,8.23,8,7,480,8234
2024-01-15,Monday,3,January,6.56,8,4.67,7,45,Medium,2.56,5.12,7,7,435,8912
2024-01-16,Tuesday,3,January,6.78,8,5.34,8,75,High,2.78,4.89,8,8,540,10567
2024-01-17,Wednesday,3,January,6.89,9,5.12,8,90,High,2.67,5.34,8,8,570,11234
2024-01-18,Thursday,3,January,6.45,8,4.89,8,60,Medium,2.45,5.67,8,8,490,9234
2024-01-19,Friday,3,January,6.34,7,3.78,6,30,Light,2.12,6.45,6,6,390,7123
2024-01-20,Saturday,3,January,7.78,9,2.56,5,0,Rest,2.23,7.67,7,6,320,6456
2024-01-21,Sunday,3,January,8.23,9,1.89,4,45,Medium,2.78,8.34,8,7,440,8123
2024-01-22,Monday,4,January,6.67,8,4.78,7,60,Medium,2.56,5.23,7,7,490,9012
2024-01-23,Tuesday,4,January,6.89,9,5.45,8,75,High,2.78,4.78,8,8,540,10234
2024-01-24,Wednesday,4,January,6.78,8,5.23,8,90,High,2.67,5.45,8,8,570,11012
2024-01-25,Thursday,4,January,6.56,8,5.01,8,45,Medium,2.45,5.78,8,8,435,8845
2024-01-26,Friday,4,January,6.23,7,4.01,7,30,Light,2.01,6.67,6,6,390,7234
2024-01-27,Saturday,4,January,8.12,9,2.34,5,0,Rest,2.34,7.89,7,6,320,6234
2024-01-28,Sunday,4,January,8.34,9,1.67,4,60,Medium,2.89,8.12,8,7,480,8456
2024-01-29,Monday,5,January,6.78,8,4.89,7,45,Medium,2.67,5.34,7,7,435,8923
2024-01-30,Tuesday,5,January,6.99,9,5.34,8,75,High,2.78,5.01,8,8,540,10123
2024-01-31,Wednesday,5,January,6.89,9,5.12,8,90,High,2.56,5.23,8,8,570,10934
2024-02-01,Thursday,5,February,6.67,8,5.01,8,60,Medium,2.45,5.67,8,8,490,9123
2024-02-02,Friday,5,February,6.34,7,4.12,7,30,Light,2.12,6.78,6,6,390,7345
2024-02-03,Saturday,5,February,7.99,9,2.45,5,0,Rest,2.34,7.99,7,6,320,6234
2024-02-04,Sunday,5,February,8.23,9,1.78,4,45,Medium,2.78,8.23,8,7,440,8567
