Match_ID,Inning,Over,Ball,Batsman,Non_Striker,Bowler,Runs_Off_Bat,Extras,Wicket,Wicket_Type,Total_Runs
1,1,1,1,Batsman_1,Batsman_2,Bowler_1,0,0,0,None,0
1,1,1,2,Batsman_1,Batsman_2,Bowler_1,1,0,0,None,1
1,1,1,3,Batsman_2,Batsman_1,Bowler_1,0,1,0,None,1
1,1,1,4,Batsman_2,Batsman_1,Bowler_1,2,0,0,None,2
1,1,1,5,Batsman_1,Batsman_2,Bowler_1,0,0,0,None,0
1,1,1,6,Batsman_1,Batsman_2,Bowler_1,4,0,0,None,4
1,1,2,1,Batsman_2,Batsman_1,Bowler_2,1,0,0,None,1
1,1,2,2,Batsman_1,Batsman_2,Bowler_2,0,0,0,None,0
1,1,2,3,Batsman_1,Batsman_2,Bowler_2,1,0,0,None,1
1,1,2,4,Batsman_2,Batsman_1,Bowler_2,0,0,1,caught,0
1,1,2,5,Batsman_3,Batsman_1,Bowler_2,2,0,0,None,2
1,1,2,6,Batsman_1,Batsman_3,Bowler_2,0,2,0,None,2
1,1,3,1,Batsman_3,Batsman_1,Bowler_3,1,0,0,None,1
1,1,3,2,Batsman_1,Batsman_3,Bowler_3,0,0,0,None,0
1,1,3,3,Batsman_1,Batsman_3,Bowler_3,4,0,0,None,4
1,1,3,4,Batsman_3,Batsman_1,Bowler_3,1,0,0,None,1
1,1,3,5,Batsman_1,Batsman_3,Bowler_3,0,0,0,None,0
1,1,3,6,Batsman_1,Batsman_3,Bowler_3,6,0,0,None,6
